type:,Year,transmission:,odometer:,Model,VIN:,fuel:,drive:,Price,title status:,cylinders:,paint color:,condition:
sedan,2016,automatic,73762," honda civic lx
",,gas,fwd,12900,clean,4 cylinders,silver,like new
sedan,2009,automatic,194000," Hyandui azera
",,gas,,1700,clean,5 cylinders,custom,fair
sedan,2017,automatic,165000," nissan maxima
",,gas,,8500,clean,,blue,like new
pickup,2021,automatic,43000," Chevrolet Silverado
",,gas,4wd,51000,clean,8 cylinders,black,like new
SUV,2013,automatic,149000," Cadillac Escalade
",,gas,rwd,10500,clean,8 cylinders,white,excellent
sedan,2013,automatic,150000," mazda 3
",,gas,,4500,clean,4 cylinders,,excellent
pickup,2014,automatic,154000," chevy silverado 1500
",,gas,,14900,clean,,,good
SUV,2020,automatic,146000," cadillac escalade
",,gas,4wd,27000,clean,8 cylinders,black,good
pickup,2013,automatic,190000," ford f-150
",,gas,,9500,clean,,,
coupe,2014,automatic,118541," hyundai veloster
",,gas,,5500,clean,4 cylinders,white,excellent
SUV,2016,automatic,189000," Nissan Rogue
",5N1AT2MT5GC765043,gas,fwd,5200,clean,4 cylinders,white,excellent
pickup,2015,automatic,85200," ford f-150
",1FTEW1CG0FFB97390,gas,rwd,26500,clean,6 cylinders,green,excellent
SUV,2017,automatic,153410," gmc terrain sle
",,gas,fwd,5900,clean,4 cylinders,white,excellent
pickup,2008,automatic,999999," ford f150 crew cab 4x4
",,gas,4wd,6200,rebuilt,8 cylinders,white,excellent
minivan,2012,automatic,123575," Chrysler Town and Country Touring-L
",2C4RC1CG1CR413701,gas,fwd,6750,clean,6 cylinders,brown,like new
SUV,2010,automatic,200000," Nissan Murano le spot utility 4D
",JN8AZ1MU4AW012121,gas,,4800,clean,,brown,like new
SUV,2013,automatic,190234," Chevrolet Avalanche 1/2 Ton LT
",3GNMCFE03DG248045,gas,fwd,10000,clean,8 cylinders,white,good
sedan,2006,automatic,178000," Infinity
",,gas,rwd,4200,clean,6 cylinders,grey,good
pickup,2010,automatic,208000," Toyota Tundra double cap SR5
",5TFRM5F18AX020482,gas,rwd,10900,clean,8 cylinders,black,good
SUV,2003,automatic,180000," ford f-150
",,gas,rwd,4300,clean,8 cylinders,red,good
pickup,2011,automatic,174000," Chevrolet Silverado 1500 work truck
",3GCPCREA0BG146702,gas,rwd,10900,clean,8 cylinders,black,good
SUV,2013,automatic,104000," ford edge
",,gas,fwd,9500,clean,6 cylinders,white,excellent
pickup,2007,automatic,187346," Ford F-150 F-Series Flare Side
",1FTRF02257KB94012,gas,rwd,4800,clean,6 cylinders,red,good
SUV,2009,manual,151234," Jeep Wrangler JK X
",1J4FA24159L710992,gas,4wd,7500,clean,6 cylinders,black,good
SUV,2021,automatic,110000," gmc sierra 2500hd
",,diesel,4wd,43200,clean,8 cylinders,black,good
pickup,2014,automatic,160000," ford f150 xlt
",,gas,,13500,clean,,black,good
SUV,2009,automatic,144000," chevrolet tahoe
",,gas,,7500,clean,8 cylinders,blue,good
pickup,1996,automatic,201000," gmc sierra 1500
",,gas,4wd,3800,clean,8 cylinders,black,good
pickup,2012,automatic,200000," chevrolet silverado 1500
",,gas,,6000,clean,,white,good
sedan,2009,automatic,140000," mazda 6
",,gas,,3850,clean,4 cylinders,black,good
pickup,1981,automatic,58129," chevrolet silverado
",,gas,,28000,clean,8 cylinders,,excellent
coupe,2017,automatic,120000," ford focus
",,gas,fwd,3700,rebuilt,4 cylinders,white,good
SUV,2009,automatic,139000," jeep wrangler unlimited
",,gas,4wd,15700,clean,6 cylinders,black,excellent
sedan,2016,automatic,150000," nissan altima
",,gas,,4750,clean,,,
pickup,2009,automatic,156000," Chevrolet Silverado 1/2 Ton LT
",2GCEC290791119466,gas,rwd,8700,clean,8 cylinders,white,good
,2008,automatic,165000," bmw 550i
",,gas,,3500,clean,,,
wagon,2010,automatic,127155," volvo xc60 t6
",,gas,4wd,4465,rebuilt,6 cylinders,silver,good
SUV,2018,automatic,132000," chevrolet suburban
",,gas,,22000,clean,,silver,good
sedan,2007,automatic,230000," lincoln town car
",,gas,,2750,rebuilt,8 cylinders,white,good
coupe,2011,automatic,81162," cadillac cts coupe
",,gas,rwd,12500,clean,6 cylinders,white,good
convertible,2002,manual,145000," corvette c5
",,gas,,7999,clean,8 cylinders,red,good
pickup,2000,automatic,200000," gmc sierra 1500
",,gas,rwd,4900,clean,8 cylinders,,like new
sedan,2017,automatic,85573," volkswagen cc
",,gas,,8800,clean,4 cylinders,black,excellent
sedan,2019,automatic,81765," volkswagen jetta sel
",,gas,,10800,clean,4 cylinders,red,excellent
sedan,2005,automatic,112703," volkswagen jetta tdi
",,gas,,4999,clean,4 cylinders,grey,good
SUV,2013,automatic,204000," infinity QX56
",,gas,fwd,10490,clean,8 cylinders,white,good
,1979,manual,66538," Triumph Spitfire
",,gas,rwd,3500,clean,4 cylinders,white,
sedan,2011,automatic,116065," Mercedes Benz C300
",,gas,rwd,6700,clean,6 cylinders,black,good
van,1998,automatic,123," chevrolet express
",,gas,,7800,clean,,,
sedan,2010,automatic,110017," toyota camry
",4T1BF3EK1AU513234,gas,fwd,4500,clean,4 cylinders,grey,fair
sedan,1952,automatic,99999," chevrolet
",,gas,,12500,clean,8 cylinders,,good
pickup,2021,automatic,450000," chevy silverado
",,gas,rwd,20000,clean,8 cylinders,blue,like new
sedan,2012,automatic,118000," Cadillac CTS Premium
",1G6DS5E35C0156750,gas,4wd,5800,rebuilt,6 cylinders,,
SUV,2014,automatic,187123," gmc yukon
",,gas,,3950,clean,,,
SUV,2013,automatic,104600," Ford Escape SEL
",1FMCU0H93DUB95218,gas,fwd,5000,clean,4 cylinders,red,like new
pickup,2003,automatic,200000," chevy silverado
",,gas,rwd,3300,clean,8 cylinders,,good
hatchback,2017,automatic,101000," Hyundai Accent
",KMHCT5AE6HU313047,gas,fwd,6900,clean,4 cylinders,white,good
SUV,2015,automatic,137866," gmc yukon
",,gas,rwd,14950,salvage,8 cylinders,white,excellent
SUV,2017,automatic,95," Porsche Macan
",,gas,,17900,clean,,,
SUV,2011,automatic,170000," acura mdx
",,gas,4wd,7900,clean,6 cylinders,black,good
SUV,2018,automatic,125," VW Tiguan
",,gas,,10900,clean,,,
,2010,automatic,156800," honda civic
",,gas,,4700,clean,,,good
SUV,2016,automatic,119880," Jeep Compass
",,gas,fwd,6000,clean,4 cylinders,white,excellent
SUV,2017,automatic,101463," ford escape se
",,gas,,6900,clean,,,
coupe,1974,automatic,59000," chevrolet corvette
",,gas,rwd,15500,clean,8 cylinders,white,excellent
pickup,2000,automatic,320000," chevrolet silverado 1500
",,gas,rwd,3600,clean,8 cylinders,,good
,2000,manual,130," bmw z3 roadster
",,gas,,5900,clean,,,
SUV,2007,automatic,171000," honda cr-v
",,gas,4wd,5200,clean,4 cylinders,,
pickup,2004,automatic,140000," Ford F-250 F-Series
",1FTNW20P14ED80347,diesel,rwd,11500,clean,8 cylinders,white,good
SUV,2014,automatic,91425," ford escape se
",,gas,,5900,clean,,,
SUV,2016,automatic,115531," Nissan Pathfinder
",,gas,,7600,clean,,,
SUV,2007,automatic,160000," bmw x3
",,gas,,4995,clean,,,
sedan,2013,automatic,85000," lincoln mkz
",,gas,fwd,7999,clean,4 cylinders,white,excellent
van,1993,manual,137000," volkswagen eurovan
",,gas,,6500,clean,,,
SUV,2019,automatic,71000," Acura MDX
",,gas,,25000,clean,6 cylinders,white,good
sedan,2011,automatic,190000," mercedes benz e350
",,gas,,4999,clean,8 cylinders,,good
coupe,2007,automatic,117000," ford mustang premium
",,gas,rwd,6900,clean,6 cylinders,blue,excellent
coupe,2010,automatic,138000," chevrolet camaro lt rs
",,gas,,8000,clean,6 cylinders,,like new
,2008,automatic,161000," dodge ram 1500
",,gas,rwd,6500,clean,6 cylinders,,
