type:,Year,transmission:,odometer:,Model,VIN:,fuel:,drive:,Price,title status:,cylinders:,paint color:,condition:
SUV,2000,automatic,216234," Ford Expedition XLT
",1FMRU156XYLA94392,gas,rwd,2000,clean,8 cylinders,red,good
SUV,2009,automatic,203400," toyota rav4
",,gas,fwd,4200,clean,4 cylinders,silver,good
sedan,2007,automatic,172000," volkswagen jetta wolfsburg
",,gas,fwd,3200,clean,4 cylinders,grey,good
hatchback,2012,automatic,183000," scion xb
",,gas,rwd,5800,clean,4 cylinders,blue,good
hatchback,2013,automatic,122000," kia soul
",,gas,fwd,5400,clean,4 cylinders,green,excellent
sedan,2012,automatic,205000," Toyota Camry
",,gas,fwd,5900,clean,4 cylinders,silver,excellent
truck,2007,automatic,90000," Audi Q7
",,gas,,6000,clean,,white,fair
SUV,2006,automatic,180785," jeep liberty
",,gas,,2500,clean,6 cylinders,red,fair
SUV,2010,automatic,139411," toyota highlander limited
",,gas,fwd,8500,clean,6 cylinders,white,excellent
sedan,2009,automatic,202457," toyota corolla le
",JTDBL40E09J032263,gas,fwd,4250,clean,4 cylinders,black,good
SUV,2016,automatic,146000," honda cr-v
",,gas,fwd,17000,clean,4 cylinders,white,good
sedan,2015,automatic,138000," nissan altima
",,gas,,6000,clean,4 cylinders,custom,good
truck,2021,automatic,93000," chevrolet silverado
",,gas,rwd,40000,clean,4 cylinders,blue,excellent
pickup,2014,automatic,295000," dodge ram 2500
",,diesel,,16000,clean,,,
,2019,automatic,162643," ford f250 4x4
",,diesel,4wd,26500,clean,,,excellent
SUV,2016,automatic,84853," nissan rogue sl
",,gas,fwd,8399,rebuilt,4 cylinders,black,like new
sedan,2000,automatic,205000," Cadillac Deville
",,gas,fwd,1000,salvage,8 cylinders,grey,fair
,1986,manual,6010," chevrolet c10
",,gas,,40000,clean,,,
sedan,2018,automatic,71500," dodge charger
",,gas,rwd,13500,rebuilt,6 cylinders,white,like new
,2001,automatic,207110," toyota tacoma
",,gas,rwd,7500,clean,4 cylinders,,good
SUV,2016,automatic,146000," honda cr-v
",,gas,fwd,1700,clean,4 cylinders,white,good
van,2006,automatic,200000," chevrolet express 3500 passenger
",,gas,rwd,4500,clean,8 cylinders,,good
pickup,2022,automatic,40000," chevrolet silverado 2500
",,diesel,,39000,clean,,,
SUV,2010,automatic,88000," mercedes benz gl450
",,gas,4wd,8600,clean,8 cylinders,black,like new
sedan,2011,automatic,97000," Mercedes Benz E350
",,diesel,rwd,5500,clean,6 cylinders,grey,good
SUV,2016,automatic,272300," Chevrolet Tahoe LT
",1GNSCBKC7GR470591,gas,rwd,14000,clean,8 cylinders,black,excellent
sedan,2001,automatic,214000," Toyota Echo 4door
",,gas,fwd,4000,clean,4 cylinders,red,like new
SUV,2007,automatic,145000," nissan xterra
",,gas,fwd,5500,clean,6 cylinders,blue,good
coupe,2014,automatic,121000," bmw 228i
",,gas,rwd,11500,clean,,orange,excellent
sedan,2020,automatic,57000," nissan sentra sv
",,gas,,18000,clean,,,
SUV,2008,automatic,185000," lexus rx 350
",,gas,fwd,5750,clean,6 cylinders,blue,excellent
sedan,2014,automatic,123000," lexus ls460
",,gas,,17000,clean,,,
